patterns, probability of distruction, occurrences
29,0.49,9091.14
29,0.5,8990.67
29,0.51,8866.78
29,0.52,8727.67
29,0.53,8612.98
29,0.54,8476.25
29,0.55,8374.53
29,0.56,8231.96
29,0.57,8083.57
29,0.58,7981.11
29,0.59,7831.63
29,0.6,7626.9
29,0.61,7558.83
29,0.62,7410.94
29,0.63,7224.02
29,0.64,7126.61
29,0.65,6959.54
29,0.66,6819.54
29,0.67,6659.97
29,0.68,6497
29,0.69,6335.51
29,0.7,6056.87
29,0.71,6036.36
29,0.72,5869.76
29,0.73,5652.03
29,0.74,5536.76
29,0.75,5367.9
29,0.76,5190.08
29,0.77,4993.11
29,0.78,4750.06
29,0.79,4663.04
30,0,11584.3
30,0.01,11557.4
30,0.02,11522.7
30,0.03,11506.1
30,0.04,11469.9
30,0.05,11434.7
30,0.06,11392.2
30,0.07,11357
30,0.08,11307.6
30,0.09,11264.2
30,0.1,11208.6
30,0.11,11167.4
30,0.12,11121.9
30,0.13,11060.8
30,0.14,11011.7
30,0.15,10954
30,0.16,10903.6
30,0.17,10837.2
30,0.18,10762.3
30,0.19,10698.7
30,0.2,10641.8
30,0.21,10589.5
30,0.22,10507.2
30,0.23,10436.2
30,0.24,10362.9
30,0.25,10298
30,0.26,10221.3
30,0.27,10144.1
30,0.28,10053.5
30,0.29,9988.06
30,0.3,9902.18
30,0.31,9815.15
30,0.32,9745
30,0.33,9636.14
30,0.34,9562.05
30,0.35,9467.27
30,0.36,9371.36
30,0.37,9274.85
30,0.38,9204.41
30,0.39,9095.18
30,0.4,9014.67
30,0.41,8887.87
30,0.42,8790.24
30,0.43,8707.18
30,0.44,8629.16
30,0.45,8506.04
30,0.46,8402.53
30,0.47,8278.5
30,0.48,8172.13
30,0.49,8059.86
30,0.5,7981.36
30,0.51,7845.66
30,0.52,7734.66
30,0.53,7610.53
30,0.54,7519.73
30,0.55,7388.88
30,0.56,7278.75
30,0.57,7147.75
30,0.58,7000
30,0.59,6897.61
30,0.6,6787.51
30,0.61,6620.23
30,0.62,6501.05
30,0.63,6400.89
30,0.64,6248.92
30,0.65,6124.92
30,0.66,5984.88
30,0.67,5851.54
30,0.68,5679.47
30,0.69,5583.81
30,0.7,5399.54
30,0.71,5083.59
30,0.72,5134.6
30,0.73,4979.67
30,0.74,4649.46
30,0.75,4672.8
30,0.76,4517.42
30,0.77,4356.39
30,0.78,4205.95
30,0.79,4043.82
31,0,11656.1
31,0.01,11794.9
31,0.02,11871.7
31,0.03,11941.7
31,0.04,11981.6
31,0.05,12018.1
31,0.06,12031.6
31,0.07,12052.7
31,0.08,12047.9
31,0.09,12044.6
31,0.1,12030.5
31,0.11,12020.2
31,0.12,12001.4
31,0.13,11982.8
31,0.14,11949.1
31,0.15,11920.7
31,0.16,11887.2
31,0.17,11841
31,0.18,11805.4
31,0.19,11759.3
31,0.2,11698.8
31,0.21,11654.6
31,0.22,11588
31,0.23,11530.6
31,0.24,11470.4
31,0.25,11402.2
31,0.26,11340.4
31,0.27,11263.4
31,0.28,11201.7
31,0.29,11125.2
31,0.3,11040.1
31,0.31,10971.7
31,0.32,10891.7
31,0.33,10812.4
31,0.34,10696.5
31,0.35,10627.2
31,0.36,10525.7
31,0.37,10440.1
31,0.38,10349.2
31,0.39,10242.5
31,0.4,10136
31,0.41,10042.1
31,0.42,9940.54
31,0.43,9825.7
31,0.44,9729.92
31,0.45,9619.32
31,0.46,9518.49
31,0.47,9395.16
31,0.48,9257.85
31,0.49,9183.74
31,0.5,9048.52
31,0.51,8914.73
31,0.52,8788.48
31,0.53,8671.32
31,0.54,8545.23
31,0.55,8422.03
31,0.56,8273.6
31,0.57,8162.59
31,0.58,8015.16
31,0.59,7873.68
31,0.6,7743.81
31,0.61,7586.9
31,0.62,7453.07
31,0.63,7292.98
31,0.64,7158.68
31,0.65,7022.14
31,0.66,6878.38
31,0.67,6697.73
31,0.68,6547.07
31,0.69,6334.58
31,0.7,6218.29
31,0.71,6086.5
31,0.72,5828.97
31,0.73,5738.55
31,0.74,5542.79
31,0.75,5379.17
31,0.76,5224.12
31,0.77,5037.4
31,0.78,4767.96
31,0.79,4688.92
32,0,11734.6
32,0.01,11708
32,0.02,11674.1
32,0.03,11650.6
32,0.04,11612
32,0.05,11578.5
32,0.06,11541.9
32,0.07,11503.9
32,0.08,11457.7
32,0.09,11411
32,0.1,11358.8
32,0.11,11313.7
32,0.12,11252
32,0.13,11212.7
32,0.14,11162.5
32,0.15,11098.6
32,0.16,11042.1
32,0.17,10979.5
32,0.18,10895.6
32,0.19,10840.3
32,0.2,10764.5
32,0.21,10710.1
32,0.22,10641.4
32,0.23,10569.6
32,0.24,10491.3
32,0.25,10415.8
32,0.26,10356
32,0.27,10267.1
32,0.28,10180.1
32,0.29,10106.4
32,0.3,10015.4
32,0.31,9923.85
32,0.32,9845.28
32,0.33,9757.92
32,0.34,9678.77
32,0.35,9593.27
32,0.36,9483.21
32,0.37,9394.39
32,0.38,9310.5
32,0.39,9206.81
32,0.4,9106.56
32,0.41,9027.35
32,0.42,8888.41
32,0.43,8818.06
32,0.44,8712.31
32,0.45,8599.48
32,0.46,8476.48
32,0.47,8381.68
32,0.48,8275.74
32,0.49,8161.86
32,0.5,8051.3
32,0.51,7924.6
32,0.52,7825.2
32,0.53,7680.41
32,0.54,7590.12
32,0.55,7474.63
32,0.56,7341.98
32,0.57,7229.92
32,0.58,7109.84
32,0.59,6981.57
32,0.6,6832.49
32,0.61,6699.25
32,0.62,6606.92
32,0.63,6444.86
32,0.64,6307.93
32,0.65,6173.7
32,0.66,6052.78
32,0.67,5917.47
32,0.68,5760.16
32,0.69,5610.52
32,0.7,5468.65
32,0.71,5331.87
32,0.72,5188.42
32,0.73,4995.23
32,0.74,4885.94
32,0.75,4741.01
32,0.76,4560.02
32,0.77,4415.41
32,0.78,4255.86
32,0.79,4087.78
33,0,11806.4
33,0.01,11931.1
33,0.02,12017.3
33,0.03,12068.6
33,0.04,12123.7
33,0.05,12144.3
33,0.06,12170.8
33,0.07,12173.1
33,0.08,12182.7
33,0.09,12176.7
33,0.1,12169.9
33,0.11,12146.9
33,0.12,12133.7
33,0.13,12104.8
33,0.14,12062.1
33,0.15,12034.3
33,0.16,12001.9
33,0.17,11958
33,0.18,11904.3
33,0.19,11866.1
33,0.2,11817
33,0.21,11754.8
33,0.22,11693.5
33,0.23,11639.9
33,0.24,11573.9
33,0.25,11502.4
33,0.26,11441.7
33,0.27,11362.7
33,0.28,11298.9
33,0.29,11222.5
33,0.3,11138.3
33,0.31,11056.4
33,0.32,10982.7
33,0.33,10891.1
33,0.34,10797
33,0.35,10717.8
33,0.36,10621.2
33,0.37,10525.1
33,0.38,10434.3
33,0.39,10340.7
33,0.4,10237.1
33,0.41,10135.1
33,0.42,10029.4
33,0.43,9924.93
33,0.44,9804.74
33,0.45,9687.62
33,0.46,9588.59
33,0.47,9455.15
33,0.48,9365.44
33,0.49,9246.43
33,0.5,9099.97
33,0.51,8999.61
33,0.52,8867.92
33,0.53,8731.5
33,0.54,8606.03
33,0.55,8475.47
33,0.56,8343.75
33,0.57,8221.71
33,0.58,8086.05
33,0.59,7912.04
33,0.6,7792.35
33,0.61,7647.56
33,0.62,7477.31
33,0.63,7372.95
33,0.64,7239.73
33,0.65,7047.13
33,0.66,6886.38
33,0.67,6753.42
33,0.68,6566.94
33,0.69,6426.04
33,0.7,6273.49
33,0.71,6104.51
33,0.72,5945.8
33,0.73,5762.82
33,0.74,5604.98
33,0.75,5421.22
33,0.76,5235.65
33,0.77,5055.76
33,0.78,4889.16
33,0.79,4680.08
34,0,11862
34,0.01,11843.8
34,0.02,11816.6
34,0.03,11781.5
34,0.04,11747.4
34,0.05,11705.6
34,0.06,11672.2
34,0.07,11632.8
34,0.08,11593
34,0.09,11544.2
34,0.1,11480.8
34,0.11,11438.6
34,0.12,11387.7
34,0.13,11340
34,0.14,11275.8
34,0.15,11217.7
34,0.16,11150.8
34,0.17,11093.5
34,0.18,11037.6
34,0.19,10965.2
34,0.2,10898.5
34,0.21,10835.9
34,0.22,10755.8
34,0.23,10687.5
34,0.24,10612.7
34,0.25,10540.9
34,0.26,10452.5
34,0.27,10379.1
34,0.28,10293.6
34,0.29,10226
34,0.3,10130.3
34,0.31,10045.5
34,0.32,9962.87
34,0.33,9869.59
34,0.34,9785.18
34,0.35,9688.82
34,0.36,9593.84
34,0.37,9504.29
34,0.38,9412.51
34,0.39,9307.53
34,0.4,9201.16
34,0.41,9103.64
34,0.42,9007.31
34,0.43,8909.46
34,0.44,8788.5
34,0.45,8687.3
34,0.46,8578.6
34,0.47,8477.2
34,0.48,8339.61
34,0.49,8254.35
34,0.5,8141.57
34,0.51,8018.67
34,0.52,7902.2
34,0.53,7791.91
34,0.54,7679.99
34,0.55,7525.15
34,0.56,7418.03
34,0.57,7290.88
34,0.58,7171.14
34,0.59,7059.72
34,0.6,6906.22
34,0.61,6786.97
34,0.62,6675.15
34,0.63,6495.14
34,0.64,6402.01
34,0.65,6253.34
34,0.66,6080.74
34,0.67,5982.02
34,0.68,5818.59
34,0.69,5678.23
34,0.7,5533.45
34,0.71,5384
34,0.72,5222.36
34,0.73,5081.25
34,0.74,4830.39
34,0.75,4792.74
34,0.76,4625.32
34,0.77,4268.82
34,0.78,4299.78
34,0.79,4137.73
35,0,11942.4
35,0.01,12062.6
35,0.02,12136.3
35,0.03,12203.1
35,0.04,12241.4
35,0.05,12275.6
35,0.06,12287
35,0.07,12306.7
35,0.08,12302.8
35,0.09,12297
35,0.1,12280.8
35,0.11,12262.1
35,0.12,12244.2
35,0.13,12215.2
35,0.14,12182.8
35,0.15,12146.9
35,0.16,12111.4
35,0.17,12061.7
35,0.18,12027.7
35,0.19,11970.6
35,0.2,11912.3
35,0.21,11858.3
35,0.22,11806.2
35,0.23,11726.2
35,0.24,11675.8
35,0.25,11611.2
35,0.26,11522.2
35,0.27,11463
35,0.28,11382.2
35,0.29,11311.5
35,0.3,11221.1
35,0.31,11142.2
35,0.32,11070.2
35,0.33,10967.4
35,0.34,10887.4
35,0.35,10802.9
35,0.36,10700.5
35,0.37,10602.6
35,0.38,10496.6
35,0.39,10401.2
35,0.4,10312.4
35,0.41,10193.3
35,0.42,10091.2
35,0.43,9996.29
35,0.44,9871.81
35,0.45,9757.04
35,0.46,9634.62
35,0.47,9529.71
35,0.48,9412.27
35,0.49,9285.41
35,0.5,9169.77
35,0.51,9046.23
35,0.52,8915.45
35,0.53,8797.37
35,0.54,8664.95
35,0.55,8533.93
35,0.56,8398.92
35,0.57,8274.29
35,0.58,8125.16
35,0.59,7988.34
35,0.6,7852.53
35,0.61,7677.78
35,0.62,7552.02
35,0.63,7410.08
35,0.64,7226.8
35,0.65,7098.03
35,0.66,6966
35,0.67,6792.78
35,0.68,6634
35,0.69,6463.56
35,0.7,6312.25
35,0.71,6129.41
35,0.72,5853.64
35,0.73,5770.15
35,0.74,5611.13
35,0.75,5450.74
35,0.76,5268.34
35,0.77,5078.73
35,0.78,4813.24
35,0.79,4649.25
